evidence_domain	dataset	unit	n	events	candidate_or_module	contrast	effect_direction	effect_size	ci_low	ci_high	p_value	fdr	endpoint	supports_chain_component	independent_or_reused	confounder_adjustment	interpretation	limitation	status	responders	nonresponders
phosphoproteomics	CPTAC-PAAD (cBioPortal)	phosphosite	85		C7 S331	primary tumor vs adjacent normal	higher_tumor	0.579298025			0.00951627130531614	0.204599833064297	phosphosite abundance	complement/cytoskeleton phosphorylation	independent CPTAC phosphoproteomics	none; tumor-normal Wilcoxon	Nominal or exploratory phosphosite signal.	Phosphosite abundance is not identical to pathway activity; FDR must be respected.	exploratory		
phosphoproteomics	CPTAC-PAAD (cBioPortal)	phosphosite	16		C7 S768	primary tumor vs adjacent normal	higher_tumor	0.951229440000002			0.018129007864972	0.311818935277518	phosphosite abundance	complement/cytoskeleton phosphorylation	independent CPTAC phosphoproteomics	none; tumor-normal Wilcoxon	Nominal or exploratory phosphosite signal.	Phosphosite abundance is not identical to pathway activity; FDR must be respected.	exploratory		
phosphoproteomics	CPTAC-PAAD (cBioPortal)	phosphosite	93		ROCK2 S1288	primary tumor vs adjacent normal	lower_tumor	-0.712170165			0.00283288273385369	0.0812093050371392	phosphosite abundance	complement/cytoskeleton phosphorylation	independent CPTAC phosphoproteomics	none; tumor-normal Wilcoxon	Nominal or exploratory phosphosite signal.	Phosphosite abundance is not identical to pathway activity; FDR must be respected.	exploratory		
phosphoproteomics_survival	CPTAC-PAAD (cBioPortal)	patient	63	34	RICTOR phosphosite aggregate	1-SD increase	higher_risk	1.38211265253731	0.995706807878302	1.9184717521156	0.0530826215843154	0.315403366187382	overall survival	signaling survival support	independent CPTAC phosphoproteomics	age-adjusted Cox	Exploratory OS association; RICTOR is borderline nominal only.	Aggregate phosphosite score is not a direct kinase activity assay.	exploratory		
phosphoproteomics_survival	CPTAC-PAAD (cBioPortal)	patient	41	22	MTOR phosphosite aggregate	1-SD increase	lower_risk	0.658907938855749	0.424395611816513	1.02300697697798	0.0630806732374763	0.315403366187382	overall survival	signaling survival support	independent CPTAC phosphoproteomics	age-adjusted Cox	Exploratory OS association; RICTOR is borderline nominal only.	Aggregate phosphosite score is not a direct kinase activity assay.	exploratory		
phosphoproteomics_survival	CPTAC-PAAD (cBioPortal)	patient	63	34	ROCK2 phosphosite aggregate	1-SD increase	higher_risk	1.20062201753414	0.842689240857656	1.71058696266332	0.311383278947157	0.778458197367892	overall survival	signaling survival support	independent CPTAC phosphoproteomics	age-adjusted Cox	Exploratory OS association; RICTOR is borderline nominal only.	Aggregate phosphosite score is not a direct kinase activity assay.	exploratory		
single_cell_mechanism	GSE154778	cell-type contrast			NK→CCL5→Dendritic	SecAct sender expression + receiver activity	positive_signal	48.8857496506497			5.65728272053846e-09	1.03971682431518e-08	cell-cell communication activity	tumor–myeloid/TME signaling	independent single-cell cohort	prespecified SecAct candidate audit	Mechanistic support for a signaling route, not clinical response or causality.	Expression/activity inference and cohort-specific cell composition; no ICI treatment endpoint.	mechanistic_support		
single_cell_mechanism	GSE156405	cell-type contrast			Tumor→MDK→T	SecAct sender expression + receiver activity	positive_signal	5.52992669029824			2.66498804490042e-76	1.35056173800886e-75	cell-cell communication activity	tumor–myeloid/TME signaling	independent single-cell cohort	prespecified SecAct candidate audit	Mechanistic support for a signaling route, not clinical response or causality.	Expression/activity inference and cohort-specific cell composition; no ICI treatment endpoint.	mechanistic_support		
single_cell_mechanism	GSE156405	cell-type contrast			T→CCL5→Dendritic	SecAct sender expression + receiver activity	positive_signal	12.8022431842814			1.19284753741039e-62	5.48709867208779e-62	cell-cell communication activity	tumor–myeloid/TME signaling	independent single-cell cohort	prespecified SecAct candidate audit	Mechanistic support for a signaling route, not clinical response or causality.	Expression/activity inference and cohort-specific cell composition; no ICI treatment endpoint.	mechanistic_support		
single_cell_mechanism	GSE156405	cell-type contrast			T→CCL5→Monocyte	SecAct sender expression + receiver activity	positive_signal	7.7654861085138			5.89963450083677e-62	2.67271320568211e-61	cell-cell communication activity	tumor–myeloid/TME signaling	independent single-cell cohort	prespecified SecAct candidate audit	Mechanistic support for a signaling route, not clinical response or causality.	Expression/activity inference and cohort-specific cell composition; no ICI treatment endpoint.	mechanistic_support		
single_cell_mechanism	GSE156405	cell-type contrast			CAF→SPARC→T	SecAct sender expression + receiver activity	positive_signal	10.0027119420743			1.82353548369577e-10	3.81284692045478e-10	cell-cell communication activity	tumor–myeloid/TME signaling	independent single-cell cohort	prespecified SecAct candidate audit	Mechanistic support for a signaling route, not clinical response or causality.	Expression/activity inference and cohort-specific cell composition; no ICI treatment endpoint.	mechanistic_support		
single_cell_mechanism	GSE156405	cell-type contrast			CAF→SPARC→B	SecAct sender expression + receiver activity	positive_signal	6.72388648384245			1.82353548369577e-10	3.81284692045478e-10	cell-cell communication activity	tumor–myeloid/TME signaling	independent single-cell cohort	prespecified SecAct candidate audit	Mechanistic support for a signaling route, not clinical response or causality.	Expression/activity inference and cohort-specific cell composition; no ICI treatment endpoint.	mechanistic_support		
single_cell_mechanism	GSE156405	cell-type contrast			CAF→SPARC→Monocyte	SecAct sender expression + receiver activity	positive_signal	10.0259292019839			1.82353548369577e-10	3.81284692045478e-10	cell-cell communication activity	tumor–myeloid/TME signaling	independent single-cell cohort	prespecified SecAct candidate audit	Mechanistic support for a signaling route, not clinical response or causality.	Expression/activity inference and cohort-specific cell composition; no ICI treatment endpoint.	mechanistic_support		
single_cell_mechanism	GSE156405	cell-type contrast			CAF→SPARC→Macrophage	SecAct sender expression + receiver activity	positive_signal	4.79518079119423			1.02072579564684e-09	2.09039049930415e-09	cell-cell communication activity	tumor–myeloid/TME signaling	independent single-cell cohort	prespecified SecAct candidate audit	Mechanistic support for a signaling route, not clinical response or causality.	Expression/activity inference and cohort-specific cell composition; no ICI treatment endpoint.	mechanistic_support		
single_cell_mechanism	GSE156405	cell-type contrast			Monocyte→LY86→Dendritic	SecAct sender expression + receiver activity	positive_signal	3.01905101644931			3.18227422667255e-08	5.17119561834289e-08	cell-cell communication activity	tumor–myeloid/TME signaling	independent single-cell cohort	prespecified SecAct candidate audit	Mechanistic support for a signaling route, not clinical response or causality.	Expression/activity inference and cohort-specific cell composition; no ICI treatment endpoint.	mechanistic_support		
single_cell_mechanism	GSE156405	cell-type contrast			CAF→MDK→T	SecAct sender expression + receiver activity	positive_signal	11.6918389409515			4.54387063686552e-06	4.88711266339134e-06	cell-cell communication activity	tumor–myeloid/TME signaling	independent single-cell cohort	prespecified SecAct candidate audit	Mechanistic support for a signaling route, not clinical response or causality.	Expression/activity inference and cohort-specific cell composition; no ICI treatment endpoint.	mechanistic_support		
single_cell_mechanism	GSE156405	cell-type contrast			Endothelial→MDK→T	SecAct sender expression + receiver activity	positive_signal	15.255175516748			4.68531277306662e-06	5.02117748798179e-06	cell-cell communication activity	tumor–myeloid/TME signaling	independent single-cell cohort	prespecified SecAct candidate audit	Mechanistic support for a signaling route, not clinical response or causality.	Expression/activity inference and cohort-specific cell composition; no ICI treatment endpoint.	mechanistic_support		
ICI_external	GSE277116 / NCT02451982	patient	10	6	PDAC neoadjuvant immunotherapy response cohort	pathologic responder vs non-responder	no_stable_global_signal						patient-level IMC protein marker response	ICI relevance	independent clinical trial cohort	patient-level FCS aggregation; treatment arm, tissue structure, and ROI location retained	Completed 23-ROI IMC processing across 45 protein channels and prespecified phenotype proxies; no feature remained FDR<0.05. CD138 showed nominal p=0.031 but BH FDR=0.922.	n=10 (6/4), IMC is a protein/spatial assay rather than a transcriptomic mitoxyperilysis score; thresholds are exploratory and no causal treatment effect is inferred.	sensitivity_limited	6	4
ICI_external	GSE179351_PDAC	pretreatment_patient	6		innate_inflammatory_context	responder vs nonresponder	higher_in_responder	1.29871084707012			0.662520583540057	1	module score	ICI response relevance	independent GEO cohort	none; exploratory Wilcoxon	RNA module association with treatment response; not pathway activation or causality.	Only six explicitly mapped PDAC pretreatment samples; no module survives multiple testing.	sensitivity_limited	3	3
ICI_external	GSE78220	pretreatment_patient	27		mitochondrial_oxidative	responder vs nonresponder	higher_in_responder	0.0380960967515826			0.86439477984566	0.86439477984566	module score	ICI response relevance	independent GEO cohort	none; exploratory Wilcoxon	RNA module association with treatment response; not pathway activation or causality.	Melanoma pembrolizumab cohort; cross-cancer context and no PDAC-specific inference.	negative_external	15	12
ICI_external	GSE91061	pretreatment_patient	51		innate_inflammatory_context	responder vs nonresponder	higher_in_responder	0.821936007052287			0.0360656044114432	0.252459230880102	module score	ICI response relevance	independent GEO cohort	none; exploratory Wilcoxon	RNA module association with treatment response; not pathway activation or causality.	Pre-treatment subset; inflammatory context nominal p<0.05 but FDR is non-significant.	nominal_only	10	39
ICI_external	GSE115821	pretreatment_patient	7		innate_input	responder vs nonresponder							module score	ICI response relevance	independent GEO cohort	none; exploratory Wilcoxon	RNA module association with treatment response; not pathway activation or causality.	Only seven expression/metadata-overlap pretreatment samples and one responder; underpowered.	sensitivity_limited	1	6
phosphoproteomics	CPTAC-PAAD	paired_sample	140		RICTOR-AKT1-RPS6KB1 site chain	direct site availability and concordance	no_direct_pAKT_S473						phosphosite inventory/correlation	mTOR downstream mechanism	independent CPTAC	paired correlations; no ICI endpoint	AKT1-S473 is absent; RPS6KB1 sites do not correlate with RICTOR protein.	T308-RICTOR inverse correlation is not a valid S473 surrogate.	negative_direct_chain		
spatial_transcriptomics	GSE240078	patient_paired_tumor_stroma	40		tumor innate_input vs stromal myeloid_ecology	same-patient compartment coupling	inverse_coupling	-0.470731707317073			0.00217318567546537	0.00869274270186148	Spearman correlation	tumor-myeloid spatial proxy	independent spatial cohort	patient-level paired proxy; no coordinates	Supports co-occurrence coupling but not geometric adjacency or cell-cell contact.	No ROI coordinates/cell segmentation; 36 vs 40 label discrepancy.	spatial_proxy_support		
spatial_transcriptomics	GSE240078	patient_paired_tumor_stroma	40		tumor mitochondrial_oxidative	tumor vs stroma	higher_tumor	0.570275018326029			0.000486617772014081	0.000729926658021121	paired Wilcoxon	spatial compartment localization	independent spatial cohort	patient-level paired test; no ICI endpoint	Tumor enrichment is consistent with compartmental localization.	Spatial module coverage is 1/4 genes; not a complete pathway readout.	spatial_support		
RPPA_proteomics	TCGA-PAAD PanCancer Atlas RPPA	sample	122		Akt_pS473 RPPA site	site availability	direct_site_present	122/122					RPPA antibody feature	AKT-S473 direct measurement	independent TCGA RPPA cohort	none; Spearman correlation on RPPA abundance	Direct `Akt_pS473` feature is present in every RPPA sample.	Antibody recognizes AKT1/2/3 together; TCGA is untreated and not an ICI response cohort.	direct_site_support		
RPPA_proteomics	TCGA-PAAD PanCancer Atlas RPPA	sample	122		Akt_pS473 vs Rictor_total	same-sample RPPA abundance	positive	rho=0.220			0.01505769231992051	0.02509537624292065	Spearman correlation	mTORC2 upstream coherence	independent TCGA RPPA cohort	none; Spearman correlation on RPPA abundance	Akt-pS473 has a weak positive association with total Rictor, consistent with but not proving mTORC2 coupling.	Rictor abundance is not Rictor complex activity; no treatment or perturbation.	weak_mechanistic_support		
RPPA_proteomics	TCGA-PAAD PanCancer Atlas RPPA	sample	122		Akt_pS473 vs p70S6K_pT389	same-sample RPPA abundance	positive	rho=0.180			0.04783910483949904	0.06944386186378892	Spearman correlation	downstream S6K coherence	independent TCGA RPPA cohort	none; Spearman correlation on RPPA abundance	The positive association with p70S6K-pT389 is nominal but does not survive FDR correction.	p70S6K-T389 is not a direct AKT substrate readout and assay feedback may decouple nodes.	nominal_only		
RPPA_proteomics	TCGA-PAAD PanCancer Atlas RPPA	sample	122		Akt_pS473 vs mTOR_pS2448	same-sample RPPA abundance	positive	rho=0.626			1.2875279847987417e-14	1.537140592496716e-13	Spearman correlation	mTOR pathway coherence	independent TCGA RPPA cohort	none; Spearman correlation on RPPA abundance	Strong positive association with mTOR-pS2448 supports shared mTOR-pathway state, not mTORC2 specificity.	mTOR-S2448 is not specific for mTORC2 and cannot replace RICTOR functional evidence.	mechanistic_support		
RPPA_proteomics	TCGA-PAAD PanCancer Atlas RPPA	sample	122		Akt_pS473 cross-release replication	PanCancer Atlas vs Firehose Legacy RPPA	replicated	overlap=122					processing-release sensitivity	reproducible AKT-S473 pathway-state support	independent TCGA RPPA cohort	none; Spearman correlation on RPPA abundance	The direct pS473 feature is present in both TCGA RPPA processing releases, with positive Rictor/p70S6K associations in both.	The releases reuse the same underlying TCGA patients and are not independent cohorts; effect sizes vary by processing release.	replication_support		
